Date,Open,High,Low,Close,Adj Close,Volume
2018-03-16,153.021027,154.856598,152.619507,153.212234,121.744835,9688784
2018-03-19,152.686417,152.858505,149.569794,150.430206,119.534164,5734172
2018-03-20,150.592728,150.984711,148.460800,149.330780,118.660561,4536188
2018-03-21,149.684509,151.242828,149.063095,149.799240,119.032791,3642381
2018-03-22,148.183563,148.422562,145.315491,145.401535,115.538307,4964630
2018-03-23,145.554489,145.869980,142.007645,142.342255,113.107361,4645181
2018-03-26,144.560226,146.902481,143.671127,146.625244,116.510681,4292679
2018-03-27,147.179733,148.059280,144.512421,145.229446,115.401573,4062350
2018-03-28,145.382416,147.093689,145.210327,145.812622,115.864960,3833381
2018-03-29,146.338425,147.122375,144.435944,146.682602,116.556252,3577320
2018-04-02,146.596558,146.634796,141.902481,143.470367,114.003777,5387318
2018-04-03,144.168259,144.359467,141.778198,143.260040,113.836647,4325942
2018-04-04,141.386230,147.676865,140.965576,147.342255,117.080429,5026344
2018-04-05,147.648178,148.107071,146.596558,147.256210,117.012039,3331928
2018-04-06,146.711288,147.179733,142.963669,143.948380,114.383621,3841853
2018-04-09,145.124283,147.858505,145.066925,145.975143,115.994125,4616207
2018-04-10,148.212234,149.713196,147.944550,148.556412,118.045242,3981494
2018-04-11,147.581268,148.929260,147.112808,148.527725,118.022446,3458599
2018-04-12,149.856598,151.988525,149.780121,151.118546,120.081139,5898812
2018-04-13,151.692154,152.217972,149.053543,149.818359,119.047981,4243727
2018-04-16,151.042068,152.141495,150.736145,150.946457,119.944374,4379393
2018-04-17,151.835571,154.875717,151.539200,153.833649,122.238579,10677045
2018-04-18,145.449326,145.917786,141.739960,142.246658,113.031387,21319258
2018-04-19,142.629059,142.648178,140.172089,141.204590,112.203346,8458061
2018-04-20,141.395798,141.462708,138.154877,138.527725,110.076294,8645818
2018-04-23,138.652008,139.541107,137.982788,139.445511,110.805557,5560118
2018-04-24,140.066925,140.822174,138.173996,139.158707,110.577652,5142659
2018-04-25,139.378586,139.961761,137.772461,139.521988,110.866325,7663414
2018-04-26,140.152969,140.879547,139.770554,140.267685,111.458878,4462027
2018-04-27,140.382416,140.774384,139.254303,140.038239,111.276550,3352953
2018-04-30,140.401535,140.898666,138.585083,138.585083,110.121864,4618613
2018-05-01,138.288712,138.642441,137.160614,138.623322,110.152245,4637336
2018-05-02,138.107071,138.451248,135.822174,136.185471,108.215088,5433865
2018-05-03,135.879547,135.975143,133.747604,135.745697,107.865639,5249456
2018-05-04,134.894836,138.001907,134.110901,137.581268,109.324219,4604701
2018-05-07,137.667297,137.973236,136.367111,136.921600,108.800026,3825222
2018-05-08,136.711288,137.198853,135.812622,136.711288,108.632912,5616079
2018-05-09,135.659653,136.730408,135.066925,136.338425,109.539261,4389016
2018-05-10,136.854691,137.982788,136.720840,137.896744,110.791252,3898024
2018-05-11,137.772461,138.479919,137.265778,137.801147,110.714455,3214567
2018-05-14,138.116638,138.738052,137.801147,137.954117,110.837372,3364041
2018-05-15,137.189301,137.657745,136.634796,137.418732,110.407211,4277512
2018-05-16,137.380493,138.652008,136.969406,138.269592,111.090836,3314460
2018-05-17,138.145309,138.804977,137.447418,138.145309,110.990967,3292494
2018-05-18,138.116638,138.565964,137.657745,137.743790,110.668381,2805581
2018-05-21,138.575531,139.617584,138.317398,139.091782,111.751427,3027856
2018-05-22,139.120453,139.770554,138.623322,138.709366,111.444168,2389064
2018-05-23,138.001907,138.336517,137.170166,138.307846,111.121567,3618846
2018-05-24,138.040146,138.126190,136.663483,137.734222,110.660675,3555040
2018-05-25,137.571701,138.212234,137.151047,137.323135,110.330429,5140358
2018-05-29,136.261948,136.606125,134.043976,135.009567,108.471588,4746330
2018-05-30,135.659653,136.806885,135.583176,136.347992,109.546944,5353951
2018-05-31,136.529633,136.529633,134.847031,135.095596,108.540733,7144494
2018-06-01,136.166351,136.558319,135.391968,135.707458,109.032333,4034945
2018-06-04,136.042068,136.873810,135.927338,136.749527,109.869545,3174924
2018-06-05,136.759079,137.743790,136.749527,137.380493,110.376480,2966456
2018-06-06,137.992355,138.355637,137.227539,138.346085,111.152298,3368225
2018-06-07,138.623322,140.248566,138.556412,138.967499,111.651527,4515059
2018-06-08,138.623322,139.990433,138.021027,139.713196,112.250656,5450183
2018-06-11,140.172089,140.927338,139.713196,140.133850,112.588631,3409960
2018-06-12,140.630981,141.032501,140.172089,140.411087,112.811348,2761963
2018-06-13,140.334610,140.984711,139.770554,139.913956,112.411957,3104737
2018-06-14,140.200760,140.516251,138.709366,138.814529,111.528664,3479310
2018-06-15,138.527725,139.072662,137.380493,138.996170,111.674583,9535336
2018-06-18,137.839386,138.164429,136.845123,138.126190,110.975601,4483574
2018-06-19,136.826004,137.877625,136.663483,137.571701,110.530090,3647402
2018-06-20,137.877625,138.164429,136.147232,136.357559,109.554619,3483075
2018-06-21,136.319305,136.845123,134.636703,135.038239,108.494629,4066534
2018-06-22,135.411087,135.573608,134.588913,135.066925,108.517700,5869420
2018-06-25,134.225616,134.225616,132.198853,132.686417,106.605095,9348207
2018-06-26,133.231354,133.699814,132.246658,132.963669,106.827850,4329917
2018-06-27,132.992355,133.632889,131.405350,131.434036,105.598885,4290483
2018-06-28,132.026764,134.359467,131.883362,133.881454,107.565254,4731790
2018-06-29,134.149139,135.143402,133.470367,133.556412,107.304100,3880765
2018-07-02,132.198853,134.053543,132.122375,133.709366,107.426979,3562048
2018-07-03,134.464630,134.741867,133.240921,133.432129,107.204224,2053507
2018-07-05,134.302109,135.210327,133.776291,135.210327,108.632919,3916956
2018-07-06,135.305923,136.653915,134.961761,136.214142,109.439407,2980054
2018-07-09,136.319305,138.355637,136.204590,138.040146,110.906471,4084316
2018-07-10,138.154877,139.187378,137.915863,138.346085,111.152298,3950742
2018-07-11,137.667297,139.761002,137.667297,138.565964,111.328964,3688824
2018-07-12,139.435944,140.372849,139.330780,140.009567,112.488777,3262997
2018-07-13,140.009567,140.516251,139.388138,139.483749,112.066315,3203480
2018-07-16,139.263855,139.378586,137.868073,139.063095,111.728355,3628365
2018-07-17,138.384323,138.623322,137.036331,137.179733,110.215187,5331148
2018-07-18,137.198853,138.432129,136.462708,138.164429,111.006340,7254324
2018-07-19,141.347992,143.919693,140.774384,142.676865,114.631775,15329967
2018-07-20,142.045883,142.313583,139.827911,139.913956,112.411957,6709672
2018-07-23,139.913956,140.248566,138.632889,139.292542,111.912697,4077203
2018-07-24,140.248566,140.573608,139.502869,139.942642,112.434990,4070614
2018-07-25,139.588913,140.200760,139.101334,140.172089,112.619354,3797921
2018-07-26,140.946457,142.705551,140.181641,140.258133,112.688507,4997788
2018-07-27,140.430206,140.669220,138.298279,138.766724,111.490257,3921768
2018-07-30,138.432129,139.808792,138.326965,139.091782,111.751427,3774177
2018-07-31,139.330780,139.388138,137.820267,138.556412,111.321281,5726013
2018-08-01,138.393875,138.804977,137.036331,137.189301,110.222878,3544266
2018-08-02,136.577438,137.055450,136.070740,136.673035,109.808075,4018104
2018-08-03,136.940720,141.414917,136.711288,141.204590,113.448898,8424066
2018-08-06,140.487579,140.726578,139.168259,139.608032,112.166183,4093730
2018-08-07,140.200760,141.147232,139.913956,140.544937,112.918930,3670205
2018-08-08,140.850861,140.946457,139.808792,140.430206,112.826736,3745831
2018-08-09,139.130020,139.521988,138.365204,138.403442,112.399727,3235801
2018-08-10,138.145309,138.690247,137.552582,138.126190,112.174545,3141243
2018-08-13,137.810699,137.954117,136.261948,136.434036,110.800316,2989991
2018-08-14,136.711288,137.495224,136.644363,137.055450,111.304993,2991560
2018-08-15,136.281067,137.667297,135.755264,137.581268,111.732033,4436609
2018-08-16,138.021027,139.273422,138.021027,138.948380,112.842285,5492232
2018-08-17,138.422562,139.952194,138.326965,139.636703,113.401283,2801816
2018-08-20,139.933075,140.688339,139.722748,140.066925,113.750664,2614686
2018-08-21,140.535370,140.650101,139.474182,139.550674,113.331413,3249817
2018-08-22,139.588913,139.732315,138.804977,138.852768,112.764626,2498894
2018-08-23,138.661575,139.120453,138.384323,138.977051,112.865555,2322538
2018-08-24,139.063095,139.665390,138.499039,139.617584,113.385742,2904324
2018-08-27,140.478012,141.128113,140.076477,140.238998,113.890396,3652214
2018-08-28,140.487579,140.525818,139.761002,140.143402,113.812767,2568244
2018-08-29,140.411087,141.424469,140.152969,141.051620,114.550362,3298875
2018-08-30,140.564056,140.822174,138.862335,139.512421,113.300354,3494058
2018-08-31,139.311661,140.325043,139.139572,140.038239,113.727364,3648971
2018-09-04,139.560226,139.761002,138.441681,139.273422,113.106239,3479205
2018-09-05,138.804977,140.296371,138.671127,140.210327,113.867134,3270319
2018-09-06,140.420654,141.166351,139.139572,139.952194,113.657486,4444245
2018-09-07,139.521988,140.057358,138.738052,139.053543,112.927673,4908983
2018-09-10,140.152969,140.822174,139.158707,139.244736,113.082954,3784742
2018-09-11,139.579346,140.525818,138.862335,140.047806,113.735123,3529936
2018-09-12,139.933075,141.472275,139.608032,140.124283,113.797241,4714008
2018-09-13,140.869980,142.447418,140.650101,142.399612,115.645088,5592439
2018-09-14,142.304016,142.734222,141.281067,141.806885,115.163719,3610897
2018-09-17,141.912048,142.514343,141.271515,141.434036,114.860924,3715287
2018-09-18,141.261948,142.437866,140.984711,142.026764,115.342278,3796352
2018-09-19,142.093689,143.365204,141.711288,142.504776,115.730469,4441525
2018-09-20,143.001907,144.722748,142.868073,144.502869,117.353180,6226001
2018-09-21,144.818359,145.889099,144.110901,144.694077,117.508453,20865085
2018-09-24,144.455063,144.550674,142.887192,143.432129,116.483620,4461190
2018-09-25,143.317398,143.795410,141.835571,142.361374,115.614021,4599785
2018-09-26,145.697891,146.606125,144.684509,144.942642,117.710312,7742387
2018-09-27,145.325043,145.688339,144.512421,144.837479,117.624916,3637570
2018-09-28,144.512421,144.961761,144.158707,144.560226,117.399742,3457867
2018-10-01,145.038239,146.673035,145.038239,146.271515,118.789497,3930240
2018-10-02,146.261948,147.074570,145.793503,146.988525,119.371819,3169275
2018-10-03,147.227539,147.571701,146.080307,146.481842,118.960342,3467804
2018-10-04,145.019119,146.080307,143.747604,144.655838,117.477402,4432843
2018-10-05,144.263855,145.114716,141.367111,142.476105,115.707207,4813901
2018-10-08,141.969406,142.514343,140.707458,141.864243,115.210281,3388308
2018-10-09,141.567871,141.835571,140.468445,140.764816,114.317436,3809950
2018-10-10,141.013382,141.195023,136.233276,136.414917,110.784828,5802894
2018-10-11,136.347992,137.848953,132.676865,132.906311,107.935425,9111183
2018-10-12,134.913956,135.315491,132.963669,134.655838,109.356216,6865316
2018-10-15,134.206497,136.003830,133.977051,134.923523,109.573631,5193913
2018-10-16,136.644363,139.053543,135.353729,138.738052,112.671463,9095493
2018-10-17,129.913956,131.118546,127.552582,128.154877,104.076683,20359344
2018-10-18,126.892921,127.533463,124.321220,124.808792,101.359268,10472238
2018-10-19,124.904396,126.089867,122.332695,123.422562,100.233498,8150014
2018-10-22,123.881454,124.703636,122.753349,124.302101,100.947784,5982597
2018-10-23,123.346077,126.099426,122.762909,125.439774,101.871704,6760926
2018-10-24,125.401527,125.898659,121.414917,121.615677,98.766098,5972974
2018-10-25,121.653923,122.170174,119.636711,120.889099,98.176033,10778298
2018-10-26,119.703636,120.248566,118.269600,119.302101,96.887215,9170282
2018-10-29,114.091782,118.499046,113.097511,114.378586,92.888748,21391118
2018-10-30,115.181641,116.156792,110.086044,110.325050,89.596802,22445696
2018-10-31,111.367111,111.376671,109.072655,110.353729,89.620079,22640670
2018-11-01,110.420647,111.854683,110.047798,111.692162,90.707047,14253528
2018-11-02,112.342255,112.571701,109.502869,110.583176,89.806435,11079964
2018-11-05,110.994263,115.458893,110.898659,114.780113,93.214828,9565252
2018-11-06,115.391968,118.365204,115.019119,117.705544,95.590622,10038880
2018-11-07,118.346077,119.560226,116.950287,119.349907,96.926025,12952304
2018-11-08,117.265778,118.929253,117.237091,117.954109,97.012512,10874634
2018-11-09,118.173996,119.091782,116.596558,118.107079,97.138329,7282043
2018-11-12,118.068832,118.135757,115.344170,115.583176,95.062523,5626539
2018-11-13,115.860420,116.873802,114.627151,115.525810,95.015343,4272282
2018-11-14,115.783936,116.567879,114.502869,114.913956,94.512123,4981366
2018-11-15,114.397705,116.099426,114.254303,116.099426,95.487129,5447463
2018-11-16,115.573616,116.491394,115.239006,116.223709,95.589348,4263810
2018-11-19,116.281075,116.806885,114.502869,115.019119,94.598610,4321235
2018-11-20,113.279160,114.235184,111.567879,112.045891,92.153244,6520555
2018-11-21,112.437859,114.254303,112.227531,113.355644,93.230469,5581247
2018-11-23,112.896751,113.135757,111.768639,112.036331,92.145401,2442096
2018-11-26,113.164436,114.961761,112.868073,114.302101,94.008881,5241611
2018-11-27,113.173996,114.760994,113.164436,114.751434,94.378441,5129375
2018-11-28,115.688339,117.676865,114.933075,117.590820,96.713722,5339307
2018-11-29,117.055450,117.705544,116.061188,116.137665,95.518562,5439305
2018-11-30,116.309753,119.206497,116.137665,118.804970,97.712326,7585174
2018-12-03,120.143402,121.022942,118.891014,119.799232,98.530052,6115334
2018-12-04,119.015297,119.426384,115.994263,116.252388,95.612923,6276732
2018-12-06,114.455070,118.460800,114.053535,118.460800,97.429253,7257148
2018-12-07,118.451241,118.594643,113.642448,114.091782,93.835915,7342502
2018-12-10,114.474190,116.328873,113.307838,115.803062,95.243378,6850777
2018-12-11,117.829826,118.365204,114.722755,115.573616,95.054665,5275083
2018-12-12,117.122368,117.476097,115.678780,115.831741,95.266953,3724283
2018-12-13,115.927345,116.434036,114.885277,115.420647,94.928864,4177306
2018-12-14,114.244743,115.783936,114.187378,114.627151,94.276222,4763693
2018-12-17,113.833649,114.512428,110.009560,110.994263,91.288315,7713727
2018-12-18,111.759079,113.030594,110.917786,111.520073,91.720795,6579549
2018-12-19,111.998085,114.980881,110.869980,111.309753,91.547813,7300871
2018-12-20,110.611855,111.328873,106.787766,108.049713,88.866547,8843302
2018-12-21,107.552582,110.210327,105.583176,106.061188,87.231064,10864279
2018-12-24,105.066925,106.118546,102.772469,102.839386,84.581276,3997184
2018-12-26,103.250481,106.491394,101.281075,106.491394,87.584900,6951507
2018-12-27,105.152962,108.776291,104.655830,108.776291,89.464134,6323698
2018-12-28,109.196938,109.751434,107.552582,108.059273,88.874413,5352905
2018-12-31,108.346077,109.321220,107.476097,108.671127,89.377625,5212009
2019-01-02,107.084129,110.879539,106.778206,110.143402,90.588531,4434935
2019-01-03,109.493309,109.827919,107.734222,107.944550,88.780060,4546648
2019-01-04,109.856598,112.323135,109.407265,112.160614,92.247597,4683779
2019-01-07,112.332695,113.604210,111.539200,112.954109,92.900215,3923755
2019-01-08,114.397705,115.267685,113.747612,114.560226,94.221191,4982726
2019-01-09,115.592735,116.061188,114.598473,115.382408,94.897400,3800850
2019-01-10,114.799232,116.500954,114.674950,116.434036,95.762337,4089860
2019-01-11,116.233269,116.271507,114.913956,116.118546,95.502838,3893630
2019-01-14,115.210327,115.344170,114.493309,115.095604,94.661507,5469220
2019-01-15,115.640533,116.567879,115.506691,116.376671,95.715134,3668845
2019-01-16,116.233269,116.634796,115.516251,116.271507,95.628654,4017791
2019-01-17,115.258125,117.026772,115.248566,116.816444,96.076851,5261275
2019-01-18,117.848946,119.235184,117.313576,118.374763,97.358490,6284891
2019-01-22,117.877632,118.355644,116.195030,117.131927,96.336304,10514810
2019-01-23,125.592735,129.063095,124.579353,127.045891,104.490143,23078630
2019-01-24,126.797325,127.351814,125.650093,126.701721,104.207069,6613753
2019-01-25,127.026772,128.527725,126.606117,128.078400,105.339348,5969940
2019-01-28,127.246651,128.881454,126.749519,128.365204,105.575226,5604154
2019-01-29,128.384323,129.455063,127.724663,128.422562,105.622406,5268807
2019-01-30,128.107071,129.091782,127.390060,128.470367,105.661720,4707941
2019-01-31,128.537292,128.795410,127.858505,128.508606,105.693161,5108664
